Mints and references;Present day locality;Palm-tree evidence period barycenter;Palm-tree evidence period;Palm groves;Coinages;Date remains;Inflorescence;Leaves;Stems and charcoal;Pollen;Phytoliths;Texts;Pottery;Wood paintings, papyri and scrolls;Jewelry, gold cups and seals;Rock and Wall painting and mosaic;Sculpture (stone, bronze and wood);References;Taxa;Latitude;Long Deg;Long Min;Long Seg;Longitude;Altitude;a10
Acre, Haifa Bay, North, Israel;Ace Ptolemais (Galilaea) 8,;47 BC;-47;0;1;0;0;0;0;0;0;0;0;0;0;0;0;Ace Ptolemais (Galilaea) 8,;P dactylifera;32,92777778;35;4;54;35,08166667;14;140
Alexandria, Egypt;Alexandria (Heraclius I) 50;629 AD;629;0;1;0;0;0;0;0;0;0;0;0;0;0;0;Alexandria (Heraclius I) 50;P dactylifera;31,2;29;55;0;29,91666667;2;20
Alexandria, Egypt;Alexandria (Heraclius I) 50;641 AD;641;0;1;0;0;0;0;0;0;0;0;0;0;0;0;Alexandria (Heraclius I) 50;P dactylifera;31,2;29;55;0;29,91666667;2;20
Amasya;Amasya (Pontus, coinage of Caravalla, with a huge wall and to the left a date palm tree;215 AD;215;0;1;0;0;0;0;0;0;0;0;0;0;0;0;Coins;P dactylifera;40,65638889;35;50;14;35,83722222;406;4060
Anactorium, Aktio Vonitsa, Aetolia-Acarnania, Greece;Anactorium (Aetolia) 7;325 BC;-325;0;1;0;0;0;0;0;0;0;0;0;0;0;0;Anactorium (Aetolia) 7;P theophrasti;38,92222222;20;50;29;20,84138889;15;150
Anactorium, Aktio Vonitsa, Aetolia-Acarnania, Greece;Anactorium (Aetolia) 7;300 BC;-300;0;1;0;0;0;0;0;0;0;0;0;0;0;0;Anactorium (Aetolia) 7;P theophrasti;38,92222222;20;50;29;20,84138889;15;150
Antioch, Antakya, Turkey;Antioch (Tigranes IV coinage with stylized date palm);10 BC;-10;0;1;0;0;0;0;0;0;0;0;0;0;0;0;Coins;P dactylifera;36,2;36;9;0;36,15;87;870
Antioch, Antakya, Turkey;Antioch (Titus, Gallienus, Gordian III, Valerian) 51;79 AD;79;0;1;0;0;0;0;0;0;0;0;0;0;0;0;Antioch (Titus, Gallienus, Gordian III, Valerian) 51;P dactylifera;36,2;36;9;0;36,15;87;870
Antioch, Antakya, Turkey;Antioch (Titus, Gallienus, Gordian III, Valerian) 51;150 AD;150;0;1;0;0;0;0;0;0;0;0;0;0;0;0;Antioch (Titus, Gallienus, Gordian III, Valerian) 51;P dactylifera;36,2;36;9;0;36,15;87;870
Antioch, Antakya, Turkey;Antioch (Syria Elagabalus);220 AD;220;0;1;0;0;0;0;0;0;0;0;0;0;0;0;Coins;P dactylifera;36,2;36;9;0;36,15;87;870
